Company Name,Job Title,Job Description,Job Location,Job Posting URL,Normalized Salary
Moderna,Medical Records Technician,"We are looking for a Medical Records Technician with 0-4 years of experience. The candidate should possess Bachelors in Health Administration and demonstrate strong skills in Medical Terminology, Electronic Health Records (EHR), HIPAA Compliance, Data Entry, ICD Coding. This role involves working on innovative projects in Healthcare domain.","Milwaukee, WI",https://www.linkedin.com/jobs/view/934417/?trk=jobs_biz_prem_srch,68000
Amgen,Pharma Quality Manager,"We are looking for a Pharma Quality Manager with 5-11 years of experience. The candidate should possess Doctor of Pharmacy and demonstrate strong skills in Medical Product Knowledge, CRM, Territory Management, Clinical Trials, Adverse Event Reporting, GMP Compliance, Audits, Regulatory Submissions. This role involves working on innovative projects in Pharmaceutical domain.","Louisville, KY",https://www.linkedin.com/jobs/view/984201/?trk=jobs_biz_prem_srch,100000
Deutsch,Director of Marketing,"We are looking for a Director of Marketing with 8+ years of experience. The candidate should possess MBA and demonstrate strong skills in Email Marketing, Social Media, Content Scheduling, Copywriting, Brand Strategy, Paid Ads, Analytics, Campaign Management, Market Research, Budgeting, Agency Oversight, Executive Reporting. This role involves working on innovative projects in Marketing domain.","Denver, CO",https://www.linkedin.com/jobs/view/950317/?trk=jobs_biz_prem_srch,120000
Bechtel,Junior Civil Engineer,"We are looking for a Junior Civil Engineer with 0-3 years of experience. The candidate should possess Diploma in Civil Engineering and demonstrate strong skills in AutoCAD, Site Inspection, Surveying. This role involves working on innovative projects in Construction domain.","Philadelphia, PA",https://www.linkedin.com/jobs/view/911385/?trk=jobs_biz_prem_srch,62000
HDR,Junior Civil Engineer,"We are looking for a Junior Civil Engineer with 0-3 years of experience. The candidate should possess Diploma in Civil Engineering and demonstrate strong skills in AutoCAD, Site Inspection, Surveying. This role involves working on innovative projects in Construction domain.","Louisville, KY",https://www.linkedin.com/jobs/view/988966/?trk=jobs_biz_prem_srch,54000
Fantasy Interactive,UI/UX Designer,"We are looking for a UI/UX Designer with 0-4 years of experience. The candidate should possess Bachelors in Design and demonstrate strong skills in Figma, Sketch, Typography, Wireframing, Brand Guidelines. This role involves working on innovative projects in Design domain.","Phoenix, AZ",https://www.linkedin.com/jobs/view/910369/?trk=jobs_biz_prem_srch,85000
Workday,HR Coordinator,"We are looking for a HR Coordinator with 0-2 years of experience. The candidate should possess BBA and demonstrate strong skills in Onboarding, Recruitment, HRIS, Employee Files. This role involves working on innovative projects in HR domain.","San Francisco, CA",https://www.linkedin.com/jobs/view/976648/?trk=jobs_biz_prem_srch,60000
edX,Curriculum Developer,"We are looking for a Curriculum Developer with 3-6 years of experience. The candidate should possess Masters in Education and demonstrate strong skills in Student Guidance, Assessment Writing, Career Advice, Enrollment, eLearning, Learning Objectives, LMS Tools, Syllabus Design, Education Standards. This role involves working on innovative projects in Education domain.","El Paso, TX",https://www.linkedin.com/jobs/view/927164/?trk=jobs_biz_prem_srch,68000
Walmart,Retail Sales Associate,"We are looking for a Retail Sales Associate with 0-3 years of experience. The candidate should possess Diploma in Retail Management and demonstrate strong skills in Customer Service, POS Systems, Inventory Restocking, Sales Communication. This role involves working on innovative projects in Retail domain.","Dallas, TX",https://www.linkedin.com/jobs/view/949416/?trk=jobs_biz_prem_srch,41000
BambooHR,HR Coordinator,"We are looking for a HR Coordinator with 0-2 years of experience. The candidate should possess BBA and demonstrate strong skills in Onboarding, Recruitment, HRIS, Employee Files. This role involves working on innovative projects in HR domain.","San Diego, CA",https://www.linkedin.com/jobs/view/921017/?trk=jobs_biz_prem_srch,53000
Kirkland & Ellis,Senior Counsel,"We are looking for a Senior Counsel with 8-14 years of experience. The candidate should possess Masters in Legal Studies and demonstrate strong skills in Case Filing, Document Review, Legal Correspondence, Legal Drafting, Client Counseling, Contract Law, Mergers & Acquisitions, Negotiations, Regulatory Compliance. This role involves working on innovative projects in Legal domain.","Phoenix, AZ",https://www.linkedin.com/jobs/view/924622/?trk=jobs_biz_prem_srch,131000
Roche,Clinical Research Associate,"We are looking for a Clinical Research Associate with 0-5 years of experience. The candidate should possess Doctor of Pharmacy and demonstrate strong skills in Medical Product Knowledge, CRM, Territory Management, Clinical Trials. This role involves working on innovative projects in Pharmaceutical domain.","Raleigh, NC",https://www.linkedin.com/jobs/view/923582/?trk=jobs_biz_prem_srch,71000
Workday,HR Generalist,"We are looking for a HR Generalist with 2-5 years of experience. The candidate should possess BBA and demonstrate strong skills in Onboarding, Recruitment, HRIS, Employee Files, Benefits, Payroll, Employee Relations. This role involves working on innovative projects in HR domain.","Atlanta, GA",https://www.linkedin.com/jobs/view/916038/?trk=jobs_biz_prem_srch,73000
